Timestamp,Latitude,Longitude,RedPixels,OrangePixels,GreenPixels
2025-06-11 12-04-23,13.05,80.29,1495,1830,4412
2025-06-11 12-04-23,13.05,80.3,1076,984,3607
2025-06-11 12-04-23,13.05,80.31,492,899,2437
2025-06-11 12-04-23,13.05,80.32,299,703,617
2025-06-11 12-04-23,13.05,80.33,299,1119,211
2025-06-11 12-04-23,13.05,80.34,299,703,211
2025-06-11 12-04-23,13.05,80.35,299,703,211
2025-06-11 12-04-23,13.05,80.36,299,703,211
2025-06-11 12-04-23,13.05,80.37,299,703,211
2025-06-11 12-04-23,13.05,80.38,299,703,211
2025-06-11 12-04-23,13.05,80.39,299,703,211
2025-06-11 12-04-23,13.06,79.95,299,703,3588
2025-06-11 12-04-23,13.06,79.96,299,721,3734
2025-06-11 12-04-23,13.06,79.97,299,833,2963
2025-06-11 12-04-23,13.06,79.98,299,854,2225
2025-06-12 11-06-34,13.0,79.95,335,841,11308
2025-06-12 11-06-34,13.0,79.96,333,1048,17397
2025-06-12 11-06-34,13.0,79.97,335,1245,16515
2025-06-12 11-06-34,13.0,79.98,75,946,13163
2025-06-12 11-06-34,13.0,79.99,346,1729,10691
2025-06-12 11-06-34,13.0,80.0,347,1273,8751
2025-06-12 11-06-34,13.0,80.01,299,962,8206
2025-06-12 11-06-34,13.0,80.02,299,968,5887
2025-06-12 11-06-34,13.0,80.03,299,753,3937
2025-06-12 11-06-34,13.0,80.04,299,727,3767
2025-06-12 11-06-34,13.0,80.05,299,703,4243
2025-06-12 11-06-34,13.0,80.06,299,703,8875
2025-06-12 11-06-34,13.0,80.07,324,818,13185
2025-06-12 11-06-34,13.0,80.08,321,838,15554
2025-06-12 11-06-34,13.0,80.09,324,1282,18715
2025-06-12 11-06-34,13.0,80.1,321,1880,20857
2025-06-12 11-06-34,13.0,80.11,318,1896,19215
2025-06-12 11-06-34,13.0,80.12,321,1552,17436
2025-06-12 11-06-34,13.0,80.13,334,1342,12651
2025-06-12 11-06-34,13.0,80.14,315,1361,11761
2025-06-12 11-06-34,13.0,80.15,433,1434,9517
2025-06-12 11-06-34,13.0,80.16,795,1677,9335
2025-06-12 11-06-34,13.0,80.17,1114,2131,11988
2025-06-12 11-06-34,13.0,80.18,1345,2643,13135
